Degree,Tan Value
0,0.0
1,0.017455064928217585
2,0.03492076949174773
3,0.05240777928304121
4,0.06992681194351041
5,0.08748866352592401
6,0.10510423526567647
7,0.1227845609029046
8,0.14054083470239145
9,0.15838444032453627
10,0.17632698070846498
11,0.19438030913771848
12,0.21255656167002213
13,0.23086819112556312
14,0.24932800284318068
15,0.2679491924311227
16,0.2867453857588079
17,0.3057306814586604
18,0.3249196962329063
19,0.34432761328966527
20,0.36397023426620234
21,0.3838640350354158
22,0.4040262258351568
23,0.42447481620960476
24,0.4452286853085362
25,0.4663076581549986
26,0.48773258856586144
27,0.5095254494944288
28,0.5317094316614788
29,0.554309051452769
30,0.5773502691896257
31,0.6008606190275604
32,0.6248693519093275
33,0.6494075931975106
34,0.6745085168424267
35,0.7002075382097097
36,0.7265425280053609
37,0.7535540501027942
38,0.7812856265067174
39,0.809784033195007
40,0.8390996311772799
41,0.8692867378162267
42,0.9004040442978399
43,0.9325150861376618
44,0.9656887748070739
45,0.9999999999999999
46,1.0355303137905696
47,1.0723687100246826
48,1.110612514829193
49,1.1503684072210094
50,1.19175359259421
51,1.2348971565350515
52,1.2799416321930788
53,1.3270448216204098
54,1.3763819204711734
55,1.4281480067421144
56,1.4825609685127403
57,1.539864963814583
58,1.6003345290410507
59,1.6642794823505183
60,1.7320508075688767
61,1.8040477552714236
62,1.8807264653463318
63,1.9626105055051504
64,2.050303841579296
65,2.1445069205095586
66,2.2460367739042164
67,2.355852365823753
68,2.4750868534162964
69,2.6050890646938005
70,2.7474774194546216
71,2.904210877675822
72,3.077683537175253
73,3.2708526184841404
74,3.4874144438409087
75,3.7320508075688776
76,4.0107809335358455
77,4.331475874284157
78,4.704630109478451
79,5.144554015970307
80,5.671281819617707
81,6.313751514675041
82,7.115369722384207
83,8.144346427974593
84,9.514364454222587
85,11.430052302761348
86,14.300666256711942
87,19.08113668772816
88,28.636253282915515
89,57.289961630759144
90,1.633123935319537e+16
91,-57.28996163075955
92,-28.636253282915614
93,-19.081136687728208
94,-14.30066625671192
95,-11.430052302761336
96,-9.514364454222576
97,-8.144346427974602
98,-7.115369722384213
99,-6.313751514675046
100,-5.671281819617711
101,-5.144554015970311
102,-4.704630109478454
103,-4.331475874284155
104,-4.010780933535844
105,-3.7320508075688763
106,-3.48741444384091
107,-3.270852618484142
108,-3.077683537175254
109,-2.904210877675823
110,-2.7474774194546225
111,-2.6050890646938014
112,-2.4750868534162955
113,-2.3558523658237527
114,-2.2460367739042155
115,-2.1445069205095595
116,-2.0503038415792956
117,-1.962610505505151
118,-1.8807264653463314
119,-1.804047755271424
120,-1.7320508075688783
121,-1.6642794823505178
122,-1.6003345290410511
123,-1.5398649638145827
124,-1.4825609685127408
125,-1.4281480067421142
126,-1.3763819204711738
127,-1.3270448216204096
128,-1.2799416321930788
129,-1.234897156535052
130,-1.19175359259421
131,-1.15036840722101
132,-1.1106125148291928
133,-1.0723687100246828
134,-1.0355303137905694
135,-1.0000000000000002
136,-0.9656887748070737
137,-0.9325150861376618
138,-0.9004040442978404
139,-0.8692867378162267
140,-0.8390996311772804
141,-0.809784033195007
142,-0.7812856265067176
143,-0.753554050102794
144,-0.726542528005361
145,-0.7002075382097096
146,-0.6745085168424267
147,-0.649407593197511
148,-0.6248693519093275
149,-0.6008606190275607
150,-0.5773502691896257
151,-0.5543090514527691
152,-0.5317094316614787
153,-0.5095254494944289
154,-0.48773258856586127
155,-0.46630765815499864
156,-0.4452286853085365
157,-0.42447481620960476
158,-0.40402622583515707
159,-0.3838640350354158
160,-0.36397023426620256
161,-0.34432761328966516
162,-0.32491969623290645
163,-0.3057306814586602
164,-0.286745385758808
165,-0.267949192431123
166,-0.2493280028431807
167,-0.23086819112556334
168,-0.2125565616700221
169,-0.19438030913771864
170,-0.1763269807084649
171,-0.1583844403245364
172,-0.14054083470239132
173,-0.12278456090290465
174,-0.10510423526567673
175,-0.08748866352592402
176,-0.06992681194351064
177,-0.052407779283041175
178,-0.034920769491747904
179,-0.01745506492821751
180,-1.2246467991473532e-16
181,0.01745506492821771
182,0.034920769491747654
183,0.05240777928304093
184,0.06992681194351039
185,0.08748866352592378
186,0.10510423526567649
187,0.1227845609029044
188,0.1405408347023915
189,0.15838444032453616
190,0.1763269807084651
191,0.1943803091377184
192,0.2125565616700223
193,0.2308681911255631
194,0.24932800284318044
195,0.2679491924311227
196,0.28674538575880776
197,0.30573068145866045
198,0.3249196962329062
199,0.3443276132896654
200,0.3639702342662023
201,0.383864035035416
202,0.4040262258351568
203,0.4244748162096045
204,0.44522868530853615
205,0.46630765815499836
206,0.4877325885658615
207,0.5095254494944287
208,0.5317094316614789
209,0.5543090514527688
210,0.577350269189626
211,0.6008606190275604
212,0.6248693519093271
213,0.6494075931975106
214,0.6745085168424263
215,0.7002075382097098
216,0.7265425280053607
217,0.7535540501027943
218,0.7812856265067173
219,0.8097840331950074
220,0.8390996311772799
221,0.8692867378162262
222,0.9004040442978399
223,0.9325150861376613
224,0.9656887748070742
225,0.9999999999999997
226,1.0355303137905696
227,1.0723687100246824
228,1.1106125148291932
229,1.1503684072210094
230,1.1917535925942093
231,1.2348971565350502
232,1.2799416321930794
233,1.32704482162041
234,1.3763819204711731
235,1.4281480067421135
236,1.4825609685127412
237,1.5398649638145834
238,1.6003345290410502
239,1.664279482350517
240,1.7320508075688754
241,1.804047755271425
242,1.8807264653463323
243,1.9626105055051497
244,2.0503038415792942
245,2.1445069205095604
246,2.246036773904217
247,2.3558523658237522
248,2.4750868534162938
249,2.605089064693798
250,2.7474774194546243
251,2.904210877675823
252,3.077683537175252
253,3.2708526184841364
254,3.4874144438409127
255,3.732050807568879
256,4.010780933535844
257,4.33147587428415
258,4.704630109478443
259,5.144554015970316
260,5.67128181961771
261,6.313751514675036
262,7.115369722384189
263,8.144346427974614
264,9.514364454222596
265,11.430052302761332
266,14.300666256711871
267,19.081136687728037
268,28.636253282915778
269,57.28996163075947
270,5443746451065123.0
271,-57.28996163076068
272,-28.63625328291535
273,-19.081136687728172
274,-14.300666256711946
275,-11.43005230276138
276,-9.51436445422263
277,-8.14434642797458
278,-7.115369722384209
279,-6.313751514675051
280,-5.671281819617723
281,-5.144554015970302
282,-4.704630109478452
283,-4.331475874284157
284,-4.01078093353585
285,-3.7320508075688847
286,-3.487414443840906
287,-3.270852618484141
288,-3.0776835371752553
289,-2.9042108776758266
290,-2.74747741945462
291,-2.605089064693801
292,-2.4750868534162964
293,-2.355852365823755
294,-2.246036773904219
295,-2.1445069205095577
296,-2.0503038415792965
297,-1.9626105055051515
298,-1.8807264653463338
299,-1.8040477552714227
300,-1.732050807568877
301,-1.6642794823505183
302,-1.6003345290410513
303,-1.5398649638145847
304,-1.4825609685127397
305,-1.4281480067421146
306,-1.3763819204711742
307,-1.3270448216204112
308,-1.279941632193078
309,-1.2348971565350513
310,-1.1917535925942102
311,-1.1503684072210103
312,-1.110612514829194
313,-1.0723687100246821
314,-1.0355303137905696
315,-1.0000000000000004
316,-0.9656887748070748
317,-0.9325150861376612
318,-0.9004040442978398
319,-0.8692867378162269
320,-0.8390996311772806
321,-0.809784033195008
322,-0.7812856265067171
323,-0.7535540501027942
324,-0.7265425280053612
325,-0.7002075382097104
326,-0.6745085168424262
327,-0.6494075931975105
328,-0.6248693519093277
329,-0.6008606190275608
330,-0.5773502691896265
331,-0.5543090514527687
332,-0.5317094316614788
333,-0.5095254494944291
334,-0.48773258856586194
335,-0.46630765815499825
336,-0.4452286853085361
337,-0.4244748162096049
338,-0.4040262258351572
339,-0.3838640350354164
340,-0.3639702342662022
341,-0.34432761328966527
342,-0.32491969623290656
343,-0.30573068145866084
344,-0.28674538575880765
345,-0.26794919243112264
346,-0.24932800284318082
347,-0.23086819112556348
348,-0.21255656167002268
349,-0.1943803091377183
350,-0.176326980708465
351,-0.15838444032453655
352,-0.1405408347023919
353,-0.12278456090290434
354,-0.1051042352656764
355,-0.08748866352592415
356,-0.06992681194351076
357,-0.052407779283041744
358,-0.03492076949174758
359,-0.017455064928217634
360,-2.4492935982947064e-16
361,0.01745506492821714
362,0.03492076949174798
363,0.05240777928304125
364,0.06992681194351026
365,0.08748866352592366
